timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637062452465,355,HTTP Request-2,302,Moved Temporarily,Thread Group 1-27,text,true,,1917,123,3,3,https://classroom.google.com/,355,0,159
1637062452820,501,HTTP Request-3,200,OK,Thread Group 1-27,text,true,,102234,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,303,0,163
1637062453097,1298,HTTP Request,200,OK,Thread Group 1-29,text,true,,105608,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,148,0,73
1637062453097,148,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,559,122,4,4,http://google.com/classroom,148,0,73
1637062453246,229,HTTP Request-1,301,Moved Permanently,Thread Group 1-29,text,true,,726,126,4,4,https://www.google.com/classroom,229,0,157
1637062453475,425,HTTP Request-2,302,Moved Temporarily,Thread Group 1-29,text,true,,1917,123,4,4,https://classroom.google.com/,424,0,157
1637062453900,495,HTTP Request-3,200,OK,Thread Group 1-29,text,true,,102406,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,300,0,158
1637062452595,1877,HTTP Request,200,OK,Thread Group 1-28,text,true,,105290,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,140,0,70
1637062452595,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,559,122,3,3,http://google.com/classroom,140,0,70
1637062452736,225,HTTP Request-1,301,Moved Permanently,Thread Group 1-28,text,true,,726,126,3,3,https://www.google.com/classroom,225,0,152
1637062452961,1040,HTTP Request-2,302,Moved Temporarily,Thread Group 1-28,text,true,,1917,123,3,3,https://classroom.google.com/,1040,0,165
1637062454001,471,HTTP Request-3,200,OK,Thread Group 1-28,text,true,,102088,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,288,0,152
1637062453596,1327,HTTP Request,200,OK,Thread Group 1-30,text,true,,106363,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,138,0,69
1637062453596,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,559,122,3,3,http://google.com/classroom,138,0,69
1637062453734,221,HTTP Request-1,301,Moved Permanently,Thread Group 1-30,text,true,,726,126,3,3,https://www.google.com/classroom,221,0,147
1637062453955,490,HTTP Request-2,302,Moved Temporarily,Thread Group 1-30,text,true,,1917,123,3,3,https://classroom.google.com/,490,0,150
1637062454445,478,HTTP Request-3,200,OK,Thread Group 1-30,text,true,,103161,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,288,0,156
1637062454594,1315,HTTP Request,200,OK,Thread Group 1-32,text,true,,106363,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,139,0,69
1637062454594,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,559,122,4,4,http://google.com/classroom,139,0,69
1637062454733,227,HTTP Request-1,301,Moved Permanently,Thread Group 1-32,text,true,,726,126,4,4,https://www.google.com/classroom,227,0,154
1637062454961,491,HTTP Request-2,302,Moved Temporarily,Thread Group 1-32,text,true,,1917,123,4,4,https://classroom.google.com/,490,0,151
1637062455452,457,HTTP Request-3,200,OK,Thread Group 1-32,text,true,,103161,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,276,0,146
1637062454095,1851,HTTP Request,200,OK,Thread Group 1-31,text,true,,105412,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,137,0,69
1637062454095,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,559,122,3,3,http://google.com/classroom,137,0,69
